X,Y,Z,WaypointIndex
319891.0,6399790.0,25.0,0
319894.87382079754,6399792.020628786,60.779601447878576,1
319892.93691039877,6399794.041257571,66.11789477040395,2
319892.93691039877,6399792.020628786,78.60390026060989,3
319894.87382079754,6399792.020628786,85.73762337551486,4
319896.77054903586,6399795.001922204,78.60404623360424,5
319900.5020761475,6399794.415673074,82.1800213414725,6
319902.2966928603,6399795.85005273,75.06225099697363,7
319902.2966928603,6399795.85005273,68.83420194553715,8
319904.283031623,6399792.868759312,68.85161638435827,9
319907.45489590045,6399793.919709086,68.87136698059992,10
319908.8321434651,6399793.536279205,66.21595942142581,11
319910.9353428866,6399792.101899549,66.2379658450145,12
319912.99683292105,6399794.116436073,64.9207353192316,13
319913.8326152802,6399795.080022821,62.26351943392619,14
319916.2624268399,6399795.312080574,62.29298598405853,15
319917.2492363701,6399797.624975179,62.30713234073214,16
319918.1262153979,6399797.92333326,63.650984545752024,17
319920.2709824617,6399798.561377649,63.67746097054279,18
319921.53877049766,6399798.901063957,62.364265678438535,19
319923.0640945935,6399798.4341319045,62.37990330978372,20
319924.28503352747,6399799.283164231,63.717695069873045,21
319925.19426394906,6399800.1714430135,65.05073556814514,22
319924.8989663441,6399801.882699697,65.04954271309322,23
319926.06573282555,6399801.964360121,63.72770831171488,24
319927.42374018225,6399803.018628785,63.73367409113045,25
319929.6662182575,6399802.019397881,62.4086334391946,26
319931.1168333169,6399802.129222181,63.732343330639004,27
319933.7348403066,6399803.056096595,62.404186330693975,28
319936.2367560909,6399801.6644783225,62.39082321896687,29
319937.40414802113,6399802.481528437,65.04642336395041,30
319940.3415455355,6399803.258018441,63.71277715005985,31
319941.4341615036,6399805.421817295,63.724265256388534,32
319943.20416708774,6399805.381257185,66.37184373166271,33
319946.1086727319,6399806.130704203,66.3616491296976,34
319947.243172792,6399806.920711331,63.7000530767214,35
319947.7769437713,6399808.57319501,66.35518253261878,36
319949.5533749184,6399809.814871279,68.99457835445183,37
319952.4899665351,6399809.539421675,68.96203829093865,38
319952.52965767606,6399810.8495653365,66.2988834269444,39
319954.8258290711,6399810.126448622,60.936549814446394,40
319956.0350428318,6399812.87085603,60.90595500214559,41
319959.7880913222,6399813.474534344,63.53145880159902,42
319961.24496841757,6399814.801329372,58.17985934868837,43
319965.04327289655,6399811.163757824,60.82384323441528,44
319968.8284354398,6399812.026598978,60.787289621932146,45
319971.1567208877,6399811.562645105,66.118001296281,46
319974.1611802986,6399809.18230827,66.10225962846104,47
319977.47267273674,6399810.638926628,60.725842409506406,48
319978.57391249645,6399813.823586267,60.72100214855069,49
319980.35132621916,6399815.091862945,55.354272098844405,50
319984.60314594634,6399816.246484179,58.008431255000616,51
319987.07755195076,6399816.132828736,52.63541846856829,52
319990.3102949216,6399814.631647724,52.617671506153656,53
319993.8565347012,6399816.187662872,52.60284715482964,54
319993.9777485703,6399818.885557737,52.602176059439586,55
319994.8572994059,6399820.195927034,55.28134980821323,56
319997.18689809204,6399820.298794474,52.59169860991782,57
319998.0960307273,6399822.476045587,52.58476804848343,58
319999.6180181781,6399822.857907432,55.262639895282156,59
320002.1616165418,6399822.036438847,52.57858323886481,60
320004.4070925427,6399824.485793579,52.576726052883714,61
320005.4287034557,6399823.282463148,55.26638423884228,62
320008.446324097,6399822.287935379,52.610170681978374,63
320010.4423338253,6399822.496738042,57.98991793727161,64
320013.90526461205,6399824.882093081,58.014362233073456,65
320015.37218567054,6399827.058645459,52.66572589970983,66
320018.539609186,6399826.050347883,52.74815275006581,67
320022.3139659835,6399827.513818026,52.85689474885349,68
320023.78822405066,6399829.4480867265,54.20999204477077,69
320026.1189003342,6399830.052024277,51.60241402947794,70
320029.4910278603,6399830.659781668,51.703191557343345,71
320030.0903213744,6399832.56042675,51.66230592123905,72
320030.6663743439,6399833.144052045,52.984289396497104,73
320032.21505293244,6399833.696898194,52.98757334946111,74
320032.98924778705,6399835.111464711,53.58433967306299,75
320034.2288409148,6399835.946225773,54.89033501240148,76
320035.6882159434,6399835.890406933,54.905893737380104,77
320036.6041837501,6399836.102174913,54.56406720816648,78
320036.9804326977,6399836.950281722,54.52623757423672,79
320037.57646354625,6399836.907808629,53.862668251890895,80
320037.2815416503,6399838.61445925,54.12836049526787,81
320037.0395892038,6399839.709810734,52.747055556143614,82
320038.2722939879,6399840.010524606,52.07221113166524,83
320039.95970756665,6399841.180336358,51.361939327932134,84
320039.97128264094,6399843.801768166,51.26110109186379,85
320040.8614840973,6399845.6710354565,53.88887670141156,86
320044.28394431394,6399847.191576976,52.496561955774425,87
320045.5292316483,6399851.003389016,55.07924479476991,88
320047.8136835516,6399853.020394032,52.33296600184863,89
320051.89129286085,6399854.042374697,52.299565108599445,90
320053.67486024497,6399856.625246195,52.226793048593905,91
320055.70623448596,6399856.842386907,54.926256283050584,92
320058.67141696217,6399856.243943103,52.223528859280705,93
320060.04721942684,6399857.9173436565,53.53660754143938,94
320061.18480505643,6399858.378579148,50.81472284222641,95
320062.99176894815,6399857.869584978,50.81079358040134,96
320063.83789115876,6399858.838548544,50.78652524063252,97
320063.8920182465,6399860.805349083,50.75865476640638,98
320064.6155235964,6399861.801919961,52.0989874616441,99
320065.8906563932,6399861.789843449,50.7359825112339,100
320066.54297494417,6399862.746093392,50.71946789975457,101
320066.5828881184,6399864.06758244,50.7068502675289,102
320067.1744287396,6399864.380424093,52.059343889937736,103
320068.2676485452,6399864.496990297,52.05525740519109,104
320068.9750654824,6399865.465551019,52.046993625138185,105
320069.66209981573,6399865.773092708,53.40073855815581,106
320070.83724380255,6399865.613583216,53.39849858606917,107
320071.9049150653,6399866.196156811,53.3935737295169,108
320071.6743880872,6399867.370631161,53.389846908270144,109
